Algorithm,RMSE,Ticker
KNN,2.0446992784483964,MDNE3
MLP,2.0882676656295516,MDNE3
Random Forest,2.006855529904267,MDNE3
AdaBoost,2.077124470814819,MDNE3
Gradient Boosting,1.9939640706555968,MDNE3
Decision Tree,0.452516932312745,MELK3
KNN,0.4454213557708067,MELK3
MLP,0.4428543803786285,MELK3
Random Forest,0.45232508196926247,MELK3
AdaBoost,0.46407993151301513,MELK3
Gradient Boosting,0.4495922525232108,MELK3
Decision Tree,1.3540431704487395,MILS3
KNN,1.3349365953294996,MILS3
MLP,1.3421640470259504,MILS3
Random Forest,1.3469653484073645,MILS3
AdaBoost,1.3804217704093071,MILS3
Gradient Boosting,1.3528265959943782,MILS3
Decision Tree,2.727144444444909,MULT3
KNN,2.724748906831947,MULT3
MLP,2.713180929013861,MULT3
Random Forest,2.731789174792575,MULT3
AdaBoost,2.7097738994600533,MULT3
Gradient Boosting,2.709191130418182,MULT3
Decision Tree,2.720274399687651,ODPV3
KNN,2.6901085730636014,ODPV3
MLP,2.6935449667578855,ODPV3
Random Forest,2.703675486146574,ODPV3
AdaBoost,2.667020395356444,ODPV3
Gradient Boosting,2.6881760849235317,ODPV3
Decision Tree,2.9313766874897125,ORVR3
KNN,2.7303166944852957,ORVR3
MLP,2.7423776423661024,ORVR3
Random Forest,2.8076513153955682,ORVR3
AdaBoost,2.944373729852738,ORVR3
Gradient Boosting,2.7114666851967866,ORVR3
Decision Tree,2.2897266049507463,PETR3
KNN,2.3551705254741635,PETR3
MLP,2.1853431705393263,PETR3
Random Forest,2.3154483774760326,PETR3
AdaBoost,2.2380806527371804,PETR3
Gradient Boosting,2.197919515389714,PETR3
Decision Tree,6.37246832269807,PETR4
KNN,6.422015240608358,PETR4
MLP,6.312724492411503,PETR4
Random Forest,6.438193443570848,PETR4
AdaBoost,6.313131046968527,PETR4
Gradient Boosting,6.361112943477264,PETR4
Decision Tree,2.0170840597426882,PLPL3
KNN,1.9637580305367037,PLPL3
MLP,1.9163640442696102,PLPL3
Random Forest,1.9668981946571886,PLPL3
AdaBoost,2.0029202974229885,PLPL3
Gradient Boosting,1.9508345256685025,PLPL3
Decision Tree,0.7840538890398676,POMO3
KNN,0.7493335203507431,POMO3
MLP,0.7519880279919218,POMO3
Random Forest,0.7553659933492464,POMO3
AdaBoost,0.934524313606624,POMO3
Gradient Boosting,0.788326609397078,POMO3
Decision Tree,2.439284856325879,POMO4
KNN,2.3692622160376935,POMO4
MLP,2.0959164232732257,POMO4
Random Forest,2.4120470845550908,POMO4
AdaBoost,2.581230522713155,POMO4
Gradient Boosting,2.4140695014489872,POMO4
Decision Tree,4.131836991001969,PRIO3
KNN,4.266893966284771,PRIO3
MLP,4.35686196393248,PRIO3
Random Forest,4.150446194381318,PRIO3
AdaBoost,4.20445845576823,PRIO3
Gradient Boosting,4.203297027038222,PRIO3
Decision Tree,0.7781626976490653,RECV3
KNN,0.9034371842330194,RECV3
MLP,0.7765154264067279,RECV3
Random Forest,0.7912537132830688,RECV3
AdaBoost,0.9105217885698772,RECV3
Gradient Boosting,0.8117279180858672,RECV3
Decision Tree,1.5857338148182019,ROMI3
KNN,1.6260174293172038,ROMI3
MLP,1.6102573597375942,ROMI3
Random Forest,1.606776715979929,ROMI3
AdaBoost,1.5671567811527711,ROMI3
Gradient Boosting,1.587725902707667,ROMI3
Decision Tree,4.149197656860667,SAPR11
KNN,4.125150893215143,SAPR11
MLP,4.130594086296901,SAPR11
Random Forest,4.123903038527315,SAPR11
AdaBoost,4.102482946052731,SAPR11
Gradient Boosting,4.12339351295704,SAPR11
Decision Tree,6.354261524877378,SAPR4
KNN,6.347358378601378,SAPR4
MLP,6.345512414739984,SAPR4
Random Forest,6.349529266820653,SAPR4
AdaBoost,6.343917068800982,SAPR4
Gradient Boosting,6.3472483533695465,SAPR4
Decision Tree,17.515894205123292,SBSP3
KNN,17.450540621867226,SBSP3
MLP,16.784647669050525,SBSP3
Random Forest,17.419075835301946,SBSP3
AdaBoost,16.92632762873706,SBSP3
Gradient Boosting,17.42855022518003,SBSP3
Decision Tree,1.8102991419692955,SHUL4
KNN,1.8159272289332744,SHUL4
MLP,1.835213860033392,SHUL4
Random Forest,1.8101875152214335,SHUL4
AdaBoost,1.7992996039792475,SHUL4
Gradient Boosting,1.8185831194480933,SHUL4
Decision Tree,2.5542714731609237,SMFT3
KNN,2.5887102462478584,SMFT3
MLP,2.5120972276063815,SMFT3
Random Forest,2.592077139559641,SMFT3
AdaBoost,2.483952337844884,SMFT3
Gradient Boosting,2.5245400229965034,SMFT3
Decision Tree,1.955287883825767,SMTO3
KNN,1.9000287094446104,SMTO3
MLP,1.874498144118072,SMTO3
Random Forest,1.9708263133711323,SMTO3
AdaBoost,1.9369736263591788,SMTO3
Gradient Boosting,1.8917870384395692,SMTO3
Decision Tree,1.0851619584275172,SOJA3
KNN,1.0088532130214416,SOJA3
MLP,0.9761768142088464,SOJA3
Random Forest,1.0398622664899444,SOJA3
AdaBoost,1.035041576732115,SOJA3
Gradient Boosting,1.0103902733223349,SOJA3
Decision Tree,1.1772217863850318,STBP3
KNN,1.1771604119693175,STBP3
MLP,1.0741114211658491,STBP3
Random Forest,1.1500379998999357,STBP3
AdaBoost,1.2976853934120742,STBP3
Gradient Boosting,1.1352780177459283,STBP3
Decision Tree,5.204337223854427,SYNE3
KNN,5.191582503772607,SYNE3
MLP,5.159318301835149,SYNE3
Random Forest,5.202585085544112,SYNE3
AdaBoost,5.230748773143228,SYNE3
Gradient Boosting,5.201213367235037,SYNE3
Decision Tree,3.999308382211216,TAEE11
KNN,4.079713509760203,TAEE11
MLP,4.072512967988406,TAEE11
Random Forest,4.039210327474845,TAEE11
AdaBoost,4.038326687510808,TAEE11
Gradient Boosting,4.062746086347436,TAEE11
Decision Tree,0.13425780117106254,TAEE4
KNN,0.1716239794640907,TAEE4
MLP,0.16886615705753985,TAEE4
Random Forest,0.1721678707171062,TAEE4
AdaBoost,0.1539382527975276,TAEE4
Gradient Boosting,0.1646267645318782,TAEE4
Decision Tree,0.9932605704622376,TFCO4
KNN,1.0380469912051205,TFCO4
MLP,1.0364605029080896,TFCO4
Random Forest,1.0066080634715968,TFCO4
AdaBoost,1.0980982955596614,TFCO4
Gradient Boosting,1.0275463949166388,TFCO4
Decision Tree,1.8019433088477501,TGMA3
KNN,1.8057662035582793,TGMA3
MLP,1.26355982070559,TGMA3
Random Forest,1.8280100821441891,TGMA3
AdaBoost,2.3996128034210105,TGMA3
Gradient Boosting,1.8292580820028774,TGMA3
Decision Tree,4.751164908756627,TOTS3
KNN,4.595360048740445,TOTS3
MLP,4.564964504253251,TOTS3
Random Forest,4.6780261992155445,TOTS3
AdaBoost,4.599113976869788,TOTS3
Gradient Boosting,4.575275610961122,TOTS3
Decision Tree,3.4166843639648006,TRIS3
KNN,3.410405390932301,TRIS3
MLP,3.409215340138005,TRIS3
Random Forest,3.4161121334869553,TRIS3
AdaBoost,3.3992839408589997,TRIS3
Gradient Boosting,3.4037069580397485,TRIS3
Decision Tree,9.869414346153604,TRPL4
KNN,9.809936444403377,TRPL4
MLP,9.855854283686016,TRPL4
Random Forest,9.774942570936334,TRPL4
AdaBoost,9.80354471934587,TRPL4
Gradient Boosting,9.83397543555455,TRPL4
Decision Tree,6.287877647624385,VALE3
KNN,6.344457583454321,VALE3
MLP,6.321327622788634,VALE3
Random Forest,6.335495502776154,VALE3
AdaBoost,6.596854896768145,VALE3
Gradient Boosting,6.32736778609145,VALE3
Decision Tree,2.7036843495046954,VIVA3
KNN,2.780038142744925,VIVA3
MLP,2.9203404885689723,VIVA3
Random Forest,2.7556686717426024,VIVA3
AdaBoost,2.929345106654748,VIVA3
Gradient Boosting,2.8597304068068707,VIVA3
Decision Tree,2.9892939574878663,VLID3
KNN,2.9581957824391045,VLID3
MLP,2.977694268580622,VLID3
Random Forest,2.977629067927836,VLID3
AdaBoost,2.96427920091327,VLID3
Gradient Boosting,2.9694523636201575,VLID3
Decision Tree,2.9964756841137,VULC3
KNN,2.981927351089623,VULC3
MLP,2.937746283435071,VULC3
Random Forest,2.9753185967466433,VULC3
AdaBoost,2.8796042896848166,VULC3
Gradient Boosting,2.960193429469711,VULC3
Decision Tree,8.23015874379727,WEGE3
KNN,8.422326945315831,WEGE3
MLP,8.671610588433081,WEGE3
Random Forest,8.371972292858267,WEGE3
AdaBoost,8.528397896607098,WEGE3
Gradient Boosting,8.402481050856691,WEGE3
Decision Tree,0.06689931667325684,WIZC3
KNN,0.0665899469413023,WIZC3
MLP,0.06243276397346833,WIZC3
Random Forest,0.06781434085197255,WIZC3
AdaBoost,0.10327900258472546,WIZC3
Gradient Boosting,0.05844571709778114,WIZC3
