Backtest Results,Positive Results,Negative Results,Number of Positive Results,Number of Negative Results,Positive Rate
1.5470002299202976,1.5470002299202976,-0.07116635798545001,14,11,0.56
1.1607644361472444,1.1607644361472444,-0.1347660795091109,14,11,0.56
1.5053907416656003,1.5053907416656003,-0.053834458792381024,14,11,0.56
0.0,1.877229065168357,-0.05653618349711853,14,11,0.56
0.0,1.8364573121516723,-0.18038712196037743,14,11,0.56
1.877229065168357,0.024045433230051372,-0.23040083973630798,14,11,0.56
1.8364573121516723,0.03557722627845783,-0.011246037733501302,14,11,0.56
-0.07116635798545001,0.11339039475740065,-0.21240991785107743,14,11,0.56
-0.1347660795091109,0.020202157195302384,-0.1253060650190284,14,11,0.56
-0.053834458792381024,0.07175436644556654,-0.04400151590699264,14,11,0.56
0.0,0.05968885873251739,-0.10895097503324902,14,11,0.56
0.0,0.15808349192347781,,14,11,0.56
-0.05653618349711853,0.2752899631131268,,14,11,0.56
-0.18038712196037743,0.14904995141309618,,14,11,0.56
-0.23040083973630798,,,14,11,0.56
0.024045433230051372,,,14,11,0.56
0.03557722627845783,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
-0.011246037733501302,,,14,11,0.56
-0.21240991785107743,,,14,11,0.56
0.11339039475740065,,,14,11,0.56
-0.1253060650190284,,,14,11,0.56
-0.04400151590699264,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.020202157195302384,,,14,11,0.56
0.07175436644556654,,,14,11,0.56
-0.10895097503324902,,,14,11,0.56
0.05968885873251739,,,14,11,0.56
0.15808349192347781,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.2752899631131268,,,14,11,0.56
0.14904995141309618,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
0.0,,,14,11,0.56
