Algorithm,RMSE,MAPE,Ticker
Decision Tree,3.3847529427327268,0.0688053187370173,ELET3
KNN,3.438426264969427,0.0692689765537519,ELET3
MLP,3.3996108270074634,0.06759804068530385,ELET3
Random Forest,3.413398885837203,0.06920450827805055,ELET3
AdaBoost,3.435508417963142,0.0670250284922414,ELET3
Gradient Boosting,3.430822491055618,0.06787566355962496,ELET3
Decision Tree,12.46348406929327,0.5434794897564863,ELET6
KNN,12.75368660977001,0.5554494194302466,ELET6
MLP,12.496570500309018,0.5396390257452823,ELET6
Random Forest,12.510390194272391,0.5419136697586279,ELET6
AdaBoost,12.432909987809133,0.5358759266450372,ELET6
Gradient Boosting,12.44360856788382,0.5376284945519763,ELET6
Decision Tree,6.120366483508574,0.22582504176664633,ELMD3
KNN,6.444154777947549,0.23541262795967421,ELMD3
MLP,6.287018519170175,0.2580841797887458,ELMD3
Random Forest,6.241545405916868,0.22932645283703937,ELMD3
AdaBoost,6.280653271953926,0.22629625640220902,ELMD3
Gradient Boosting,6.271752445643643,0.22708880955984007,ELMD3
Decision Tree,9.938095686131415,0.14721548550999122,ENEV3
KNN,9.896236838497845,0.14693508511751283,ENEV3
MLP,9.810839520675296,0.1476127356547644,ENEV3
Random Forest,9.889575980464695,0.1466330453392413,ENEV3
AdaBoost,9.84100415155181,0.14740662987304662,ENEV3
Gradient Boosting,9.846641078349858,0.1473546925046451,ENEV3
Decision Tree,15.142588894541056,1.2551776488856143,ENGI11
KNN,15.133169683563887,1.2516471852539321,ENGI11
MLP,15.189004830832069,1.253402870601486,ENGI11
Random Forest,15.107388563299109,1.2483600573363915,ENGI11
AdaBoost,14.920543183930938,1.2335542927237433,ENGI11
Gradient Boosting,15.055628352077608,1.2447853581124682,ENGI11
Decision Tree,4.309466721494803,0.14056140049505678,EVEN3
KNN,4.335004914263586,0.13833250303903488,EVEN3
MLP,4.311133501276955,0.12991249019212286,EVEN3
Random Forest,4.322879223104181,0.13586941246362222,EVEN3
AdaBoost,4.292955869761137,0.13212174411007915,EVEN3
Gradient Boosting,4.309032205711628,0.1322306285691929,EVEN3
Decision Tree,2.0026679839617807,0.11501620517511749,EZTC3
KNN,1.5658141652743511,0.09380298558094148,EZTC3
MLP,1.8346511717744327,0.10601181171959015,EZTC3
Random Forest,1.7975377512253947,0.10695493664255637,EZTC3
AdaBoost,1.8196774013398294,0.10531358493389541,EZTC3
Gradient Boosting,1.7763765112665166,0.1040008454384424,EZTC3
Decision Tree,1.1843018286862008,0.11334383247238787,FESA4
KNN,1.1870095177516669,0.11769549174807298,FESA4
MLP,1.1668052111853633,0.11175964833091376,FESA4
Random Forest,1.1786420383026042,0.11453567557316298,FESA4
AdaBoost,1.234734885087462,0.1287292774977801,FESA4
Gradient Boosting,1.2095675127307641,0.12052180026390333,FESA4
Decision Tree,0.8112748261907011,0.08407567593415251,FIQE3
KNN,0.8849787380004772,0.07862265434448842,FIQE3
MLP,0.8888931816292082,0.0746630206205101,FIQE3
Random Forest,0.8821285914510716,0.07699757445424339,FIQE3
AdaBoost,0.8833636757170296,0.07542104374631513,FIQE3
Gradient Boosting,0.8938820474120349,0.07398435015796509,FIQE3
Decision Tree,1.0753385600041818,0.09636632232192352,GRND3
KNN,0.9968146181765905,0.076919220087807,GRND3
MLP,0.9668456311494394,0.061870517444465506,GRND3
Random Forest,1.0363563663314368,0.07820324450204028,GRND3
AdaBoost,1.0013103823229335,0.06798824679844521,GRND3
Gradient Boosting,1.0071930866179963,0.06830090043172769,GRND3
Decision Tree,8.332485722123979,0.19123898344114634,HBRE3
KNN,8.316292243780897,0.18938916040911583,HBRE3
MLP,8.410883536918657,0.17261422835285292,HBRE3
Random Forest,8.351329998657631,0.18986239127761687,HBRE3
AdaBoost,8.45681370160251,0.1761318849696675,HBRE3
Gradient Boosting,8.393763447878014,0.17873105482318347,HBRE3
Decision Tree,5.766993291232829,0.2616963986844361,HYPE3
KNN,7.56712497942082,0.3380895210523932,HYPE3
MLP,6.726265199487052,0.2849670298604669,HYPE3
Random Forest,5.741022049067965,0.2589875970761058,HYPE3
AdaBoost,6.499573950502192,0.2941227768181994,HYPE3
Gradient Boosting,5.92472789594959,0.2676752460744774,HYPE3
Decision Tree,2.1254600622165487,0.06210118885559538,IGTI11
KNN,1.6697905237881836,0.04935667559494387,IGTI11
MLP,1.5189275445636705,0.035980701056602,IGTI11
Random Forest,1.7744884186357024,0.05111302650800552,IGTI11
AdaBoost,1.6764193668014766,0.044351114012146524,IGTI11
Gradient Boosting,1.6265427674535933,0.042310877634359166,IGTI11
Decision Tree,5.516107114266952,0.39867356883518995,INTB3
KNN,5.269008703796093,0.37622351770232965,INTB3
MLP,4.12424909680449,0.2860652501965477,INTB3
Random Forest,5.192395762232223,0.36619050365371336,INTB3
AdaBoost,5.4034251530666655,0.38748462923256916,INTB3
Gradient Boosting,5.129282062556691,0.3637194761383736,INTB3
Decision Tree,2.568228839196706,0.2860044974736914,ITSA3
KNN,2.659519023761721,0.29924093038353095,ITSA3
MLP,2.618102853615378,0.29032911494469005,ITSA3
Random Forest,2.613416589814614,0.2902872583971162,ITSA3
AdaBoost,2.601476734541612,0.28854598455850533,ITSA3
Gradient Boosting,2.6133602157510447,0.28940265211455773,ITSA3
Decision Tree,0.3205828910463762,0.05118986062543267,JHSF3
KNN,0.23181310050182,0.0347727318941837,JHSF3
MLP,0.17917661371441188,0.028592462024885922,JHSF3
Random Forest,0.23270629848472651,0.03675258102200163,JHSF3
AdaBoost,0.1933725867247216,0.03041123669217072,JHSF3
Gradient Boosting,0.2022836649030068,0.03008456039372793,JHSF3
Decision Tree,2.6498854962645666,0.3235020836436026,KEPL3
KNN,2.6300457422676504,0.31742250679282547,KEPL3
MLP,2.6449427135211603,0.3176471350730436,KEPL3
Random Forest,2.6109182811939307,0.3160359890710486,KEPL3
AdaBoost,2.6294302973861226,0.3164209029846348,KEPL3
Gradient Boosting,2.661515466513755,0.3199004426402279,KEPL3
Decision Tree,4.415961538555589,0.12676842426483934,LAVV3
KNN,4.401151695079308,0.11828246196490613,LAVV3
MLP,4.40037260153726,0.11606965072334824,LAVV3
Random Forest,4.380696492532268,0.11437509346836044,LAVV3
AdaBoost,4.3810946229962155,0.11173416640083193,LAVV3
Gradient Boosting,4.371673398471893,0.11184701266256716,LAVV3
Decision Tree,3.914448100297726,0.11456909125721944,LEVE3
KNN,3.843420320013156,0.11007972733606589,LEVE3
MLP,3.1282907686425117,0.08189323870507322,LEVE3
Random Forest,3.868454305244389,0.11182323021361076,LEVE3
AdaBoost,4.253171802718847,0.11997135876928637,LEVE3
Gradient Boosting,3.729683488588973,0.10586044688533698,LEVE3
Decision Tree,7.101370989209598,0.6464798173790648,LOGG3
KNN,7.234595137984008,0.6553000366863777,LOGG3
MLP,7.167451510943251,0.648966816835041,LOGG3
Random Forest,7.31137822677154,0.6623009442534395,LOGG3
AdaBoost,7.287370752649917,0.6589530146528945,LOGG3
Gradient Boosting,7.301774284673634,0.6612560763926196,LOGG3
Decision Tree,4.685976836797388,0.6693135321880039,MDNE3
KNN,4.611516932072166,0.6691721428604015,MDNE3
MLP,4.822035208399441,0.691081418246731,MDNE3
Random Forest,4.7333401705406715,0.6798818375624033,MDNE3
AdaBoost,4.650402250381311,0.6738590417514249,MDNE3
Gradient Boosting,4.670643205954666,0.6750933554839473,MDNE3
Decision Tree,0.6186911708364149,0.06726399550599144,MELK3
KNN,0.5883076771814439,0.0673987574358334,MELK3
MLP,0.5691097864653787,0.058415932591127526,MELK3
Random Forest,0.5947016491936571,0.064885573903392,MELK3
AdaBoost,0.5854599287707373,0.07082032789442096,MELK3
Gradient Boosting,0.5857326882405904,0.06883923493759554,MELK3
Decision Tree,2.160248216102897,0.09971948553028229,MILS3
KNN,2.1852003357312,0.08470340584754052,MILS3
MLP,2.130218296848267,0.07486139474199589,MILS3
Random Forest,2.1563068553905937,0.0810143947407425,MILS3
AdaBoost,2.125210262141318,0.07347120891717601,MILS3
Gradient Boosting,2.1194790114603426,0.07233242873989822,MILS3
Decision Tree,6.83155843368982,0.3152249555720564,MULT3
KNN,6.585297194344829,0.30000348915927055,MULT3
MLP,6.535046473045085,0.29702782618999407,MULT3
Random Forest,6.636601183320767,0.30124160778253295,MULT3
AdaBoost,6.619811285270726,0.3019552182982161,MULT3
Gradient Boosting,6.622523197466138,0.30097947549400567,MULT3
Decision Tree,5.308783929504908,0.13302965668779548,ODPV3
KNN,5.309832377978191,0.13198856799295777,ODPV3
MLP,5.378407767782283,0.12735051683459633,ODPV3
Random Forest,5.309063878332324,0.1303496576176204,ODPV3
AdaBoost,5.289517550562575,0.1306067140021857,ODPV3
Gradient Boosting,5.3171564788082515,0.13269444974917188,ODPV3
Decision Tree,12.598289231841598,0.4061749323351603,ORVR3
KNN,12.835912445833051,0.4113277517755023,ORVR3
MLP,12.694254706810737,0.40489358499648787,ORVR3
Random Forest,12.728730883768009,0.4043608857563751,ORVR3
AdaBoost,12.553509725778483,0.40218434761151906,ORVR3
Gradient Boosting,12.517475294278233,0.3973494647052656,ORVR3
Decision Tree,11.928263187015803,0.43934106583725135,PETR3
KNN,11.522125008396777,0.41088052333698966,PETR3
MLP,11.545698793976062,0.40838791529004587,PETR3
Random Forest,11.699969202079684,0.4194354626585791,PETR3
AdaBoost,11.483094642883637,0.40816965307187586,PETR3
Gradient Boosting,11.650033832598771,0.41577761235885596,PETR3
Decision Tree,14.43230072346805,2.288342566834681,PETR4
KNN,14.214245784556713,2.2506044620163013,PETR4
MLP,14.150006077255533,2.238781343759526,PETR4
Random Forest,14.401118163267702,2.2833846623267933,PETR4
AdaBoost,14.169301701547024,2.248987656895845,PETR4
Gradient Boosting,14.382787845845812,2.2792918715693804,PETR4
Decision Tree,4.285172077304889,0.8794090954050404,PLPL3
KNN,4.328540641681613,0.8925154504507575,PLPL3
MLP,4.446574260749953,0.9060471360945801,PLPL3
Random Forest,4.373734788758644,0.8970189086707787,PLPL3
AdaBoost,4.503755986188588,0.9256789968080114,PLPL3
Gradient Boosting,4.478463158776912,0.9161523207846218,PLPL3
Decision Tree,1.5757104443732488,0.3105614875663304,POMO3
KNN,1.600277540715258,0.3204677868434593,POMO3
MLP,1.8072624912016062,0.3317795686340441,POMO3
Random Forest,1.6009928588019302,0.31134898342251205,POMO3
AdaBoost,1.6000238441430836,0.31588619794466427,POMO3
Gradient Boosting,1.5882045307799615,0.3136416082747528,POMO3
Decision Tree,4.759119063736984,0.16267157164819437,POMO4
KNN,4.880684385585591,0.18643103688180737,POMO4
MLP,4.112847016017892,0.11569137259813235,POMO4
Random Forest,4.744873429924734,0.1597253498083525,POMO4
AdaBoost,4.777885303509283,0.1692541709530528,POMO4
Gradient Boosting,4.782667731625125,0.16279483095825995,POMO4
Decision Tree,11.645138647215846,0.3898949126957966,PRIO3
KNN,11.650667425136795,0.38756926858177515,PRIO3
MLP,11.163328941796866,0.3699577106776799,PRIO3
Random Forest,11.527357288648908,0.3838347997310168,PRIO3
AdaBoost,11.538386634845825,0.38626904038786614,PRIO3
Gradient Boosting,11.581008782506593,0.3877703887626985,PRIO3
Decision Tree,2.704240026831441,0.13274024762788367,RECV3
KNN,2.727102387072251,0.14351668421705424,RECV3
MLP,2.688142344491022,0.12818605772094266,RECV3
Random Forest,2.6510023518420476,0.134252922659966,RECV3
AdaBoost,2.5515951193296167,0.12678444170822198,RECV3
Gradient Boosting,2.600821512519108,0.12894837316786836,RECV3
Decision Tree,2.193085377978273,0.10030672827377564,ROMI3
KNN,2.1281218396249524,0.08537751971571546,ROMI3
MLP,2.215398257884468,0.08709561008077545,ROMI3
Random Forest,2.1405854189845916,0.08489323832290692,ROMI3
AdaBoost,2.2046281269462056,0.08949929839443146,ROMI3
Gradient Boosting,2.189196868982296,0.08573298441107745,ROMI3
Decision Tree,9.760678469450571,1.3342146434328332,SAPR11
KNN,9.60956828086716,1.3162154447895398,SAPR11
MLP,9.486769791113803,1.295757479186844,SAPR11
Random Forest,9.566802704180736,1.3082139289498964,SAPR11
AdaBoost,9.42541690782257,1.2901821259717823,SAPR11
Gradient Boosting,9.467931171258728,1.2960590785837651,SAPR11
Decision Tree,12.213156387397898,0.16836024464423746,SAPR4
KNN,12.21782803546435,0.16461798821865134,SAPR4
MLP,12.232215931621766,0.15461541955700295,SAPR4
Random Forest,12.22521750092272,0.16318836108136767,SAPR4
AdaBoost,12.174721478361734,0.16311392775358527,SAPR4
Gradient Boosting,12.23079386249724,0.1646325621084271,SAPR4
Decision Tree,38.1228839254621,4.7885420243880406,SBSP3
KNN,37.90659233566427,4.766532659741381,SBSP3
MLP,38.171293782779934,4.797396331675118,SBSP3
Random Forest,37.95727655404004,4.771707085453053,SBSP3
AdaBoost,37.662501760223556,4.734742857408164,SBSP3
Gradient Boosting,37.73396765888749,4.744960462850648,SBSP3
Decision Tree,3.629457448658966,0.13217477077145026,SHUL4
KNN,3.5855024584088793,0.12463936432852982,SHUL4
MLP,3.64663123858019,0.12018574867032389,SHUL4
Random Forest,3.614730978431688,0.12354738044072432,SHUL4
AdaBoost,3.606108181661713,0.1335005072454516,SHUL4
Gradient Boosting,3.622398895608374,0.12007488471725924,SHUL4
Decision Tree,4.3287977079231394,0.10515316634737369,SMFT3
KNN,4.28946524778628,0.0904875745069971,SMFT3
MLP,4.350064229584653,0.09201104489276184,SMFT3
Random Forest,4.12468558368721,0.08850099227678329,SMFT3
AdaBoost,4.067598293157764,0.08335805266267117,SMFT3
Gradient Boosting,4.156771653133905,0.08614305633018854,SMFT3
Decision Tree,5.048860332418439,0.19298830325488814,SMTO3
KNN,4.944450241173482,0.179016203005629,SMTO3
MLP,4.803746609291723,0.1731160503971024,SMTO3
Random Forest,4.779361199501962,0.17738529822962462,SMTO3
AdaBoost,4.617256342764355,0.1762872336242679,SMTO3
Gradient Boosting,4.795601779890351,0.17384026979752207,SMTO3
Decision Tree,3.205160249822234,0.3346174175532369,SOJA3
KNN,3.220827570446945,0.3348246423359929,SOJA3
MLP,3.113091445657151,0.3287863033215839,SOJA3
Random Forest,3.177975651725006,0.33135470916865944,SOJA3
AdaBoost,3.1343333044954753,0.33122517257345674,SOJA3
Gradient Boosting,3.1508770371476804,0.3303540897984361,SOJA3
Decision Tree,3.2795236266426793,0.29456814699062384,STBP3
KNN,2.9585532159218144,0.28203006570159955,STBP3
MLP,3.1772095676220515,0.2922187089526473,STBP3
Random Forest,3.232785296946281,0.2904897627403507,STBP3
AdaBoost,3.052810133879208,0.3041902482658754,STBP3
Gradient Boosting,3.19058216749917,0.2933497463997852,STBP3
Decision Tree,8.173330559407598,0.15147269644524747,SYNE3
KNN,8.232396481699636,0.17723735471217833,SYNE3
MLP,8.149507115521569,0.15872404766035694,SYNE3
Random Forest,8.173912264189712,0.15713530569643644,SYNE3
AdaBoost,8.224531018623457,0.1716955756106655,SYNE3
Gradient Boosting,8.164763026412421,0.15630754885304948,SYNE3
Decision Tree,10.110169051770283,0.4648444495960306,TAEE11
KNN,10.144438004928938,0.4600461411223351,TAEE11
MLP,10.140801968547397,0.4574821172425548,TAEE11
Random Forest,10.165152552895073,0.46298052214484936,TAEE11
AdaBoost,10.117438669973112,0.45610540867863886,TAEE11
Gradient Boosting,10.152897906560934,0.4598760652039624,TAEE11
Decision Tree,0.40910902799105014,0.02665149982418649,TAEE4
KNN,0.3356398118416394,0.020522057705988084,TAEE4
MLP,0.36144935595195243,0.020017630733888885,TAEE4
Random Forest,0.363595099958979,0.023545831898083167,TAEE4
AdaBoost,0.36563214983504916,0.022603394980261836,TAEE4
Gradient Boosting,0.3646464676630613,0.022253871947170368,TAEE4
Decision Tree,1.004142718937123,0.07381942719851832,TFCO4
KNN,0.6627756336965562,0.051545072675508126,TFCO4
MLP,0.7962650415907356,0.05650617076127868,TFCO4
Random Forest,0.8317445831029807,0.05771322631079005,TFCO4
AdaBoost,0.7473119950067642,0.05231994987120661,TFCO4
Gradient Boosting,0.7504534330744387,0.05461933481437173,TFCO4
Decision Tree,2.9651959963088133,0.0871872969625414,TGMA3
KNN,3.837345195629012,0.11364494874649246,TGMA3
MLP,2.9878819245594492,0.07758133012199714,TGMA3
Random Forest,3.2176272794843164,0.09476635351404356,TGMA3
AdaBoost,4.054048367912212,0.11769843420893714,TGMA3
Gradient Boosting,3.2899662759073096,0.09775422321645721,TGMA3
Decision Tree,10.244666896860878,0.9136095837887346,TOTS3
KNN,10.344193549267256,0.9204435522310204,TOTS3
MLP,10.34556846442016,0.9191303831033909,TOTS3
Random Forest,10.250180909901161,0.9113104799840213,TOTS3
AdaBoost,10.274343560840428,0.9132171261700189,TOTS3
Gradient Boosting,10.24806959834039,0.9099296996105587,TOTS3
Decision Tree,6.352156091689078,0.1641769464258204,TRIS3
KNN,6.414086265743039,0.17001922095292682,TRIS3
MLP,6.341757610660589,0.15127155894277913,TRIS3
Random Forest,6.4192474035377485,0.16582763366977415,TRIS3
AdaBoost,6.4136949873792135,0.16623293407718662,TRIS3
Gradient Boosting,6.429368772310111,0.16449006557045381,TRIS3
Decision Tree,16.05121507264857,0.12434777882565484,TRPL4
KNN,15.984244447409834,0.1162075504307761,TRPL4
MLP,15.963296472785501,0.11170890714483515,TRPL4
Random Forest,15.654752901014767,0.11445587161548557,TRPL4
AdaBoost,15.59357464320754,0.11450918490312505,TRPL4
Gradient Boosting,15.728553040319163,0.11302388942958154,TRPL4
Decision Tree,15.611466622500224,0.31688712919562534,VALE3
KNN,15.551173691484955,0.3172268213945015,VALE3
MLP,15.225259004785295,0.30666604532540087,VALE3
Random Forest,15.54357457961195,0.3124556884557873,VALE3
AdaBoost,15.241750191547071,0.30783388023191677,VALE3
Gradient Boosting,15.390907492319165,0.309579615257368,VALE3
Decision Tree,7.372127971980433,0.48419150734504,VIVA3
KNN,7.21993657872621,0.47222576393110294,VIVA3
MLP,7.208738711805921,0.46850786443180276,VIVA3
Random Forest,7.046758793430162,0.4616553405921966,VIVA3
AdaBoost,7.065593189046026,0.4583437038871559,VIVA3
Gradient Boosting,7.081011741853768,0.4608099184694504,VIVA3
Decision Tree,6.703169724618954,0.4634996091697257,VLID3
KNN,6.954408781900049,0.4794273727003741,VLID3
MLP,6.987266293029406,0.4912666013333119,VLID3
Random Forest,6.688401660798553,0.4621939968783141,VLID3
AdaBoost,6.71481080373459,0.4674516363485558,VLID3
Gradient Boosting,6.607218283984089,0.45698777434531207,VLID3
Decision Tree,5.497555369282935,0.1166745824085451,VULC3
KNN,5.503158779274356,0.09426630193186711,VULC3
MLP,5.435454044042158,0.0930839058762148,VULC3
Random Forest,5.436953073907722,0.09867978230110439,VULC3
AdaBoost,5.411281224545831,0.09944864184548856,VULC3
Gradient Boosting,5.426888815752744,0.09807085168210164,VULC3
Decision Tree,19.74288551237282,1.350174459641436,WEGE3
KNN,19.68663364735052,1.3444777319466548,WEGE3
MLP,19.94445746154074,1.365054025686677,WEGE3
Random Forest,19.68175573179828,1.3444072868674461,WEGE3
AdaBoost,19.66196409583926,1.3426827189059078,WEGE3
Gradient Boosting,19.660039059853194,1.343786527636849,WEGE3
Decision Tree,0.13794512429139544,0.018732865950105867,WIZC3
KNN,0.13208927141387022,0.0182337075568435,WIZC3
MLP,0.12712760414413316,0.01758108371834112,WIZC3
Random Forest,0.11615693910123437,0.016429816824723723,WIZC3
AdaBoost,0.11019667752488402,0.015229199907549538,WIZC3
Gradient Boosting,0.1667877711379537,0.020866202211854198,WIZC3
