Algorithm,RMSE
KNN,4.273085929172023e-05
MLP,0.0058543035056900766
Random Forest,4.5649590434674645e-05
AdaBoost,0.0013280892397988084
Gradient Boosting,8.958652343935289e-05
Decision Tree,0.00023451613891456902
KNN,0.00010962780471505372
MLP,0.017430875779931423
Random Forest,0.00018288904480465016
AdaBoost,0.001906181195001484
Gradient Boosting,0.0002344465472278522
Decision Tree,0.0001529038596558938
KNN,0.00019973347325762719
MLP,0.0025380463903408217
Random Forest,0.00021598237769120484
AdaBoost,0.00220466535736971
Gradient Boosting,0.00015288352459414946
Decision Tree,8.754851857847645e-05
KNN,8.975164253431871e-05
MLP,0.0040867422534824945
Random Forest,9.882210612288385e-05
AdaBoost,0.0030710483820234067
Gradient Boosting,9.041132835018355e-05
Decision Tree,0.00014960181620251187
KNN,0.00010148333342923563
MLP,0.006340500398513004
Random Forest,0.00013272139023445844
AdaBoost,0.0015488284087664089
Gradient Boosting,0.00014958078150439027
Decision Tree,0.00033717754926319106
KNN,0.0001505322675952393
MLP,0.003730521359204623
Random Forest,0.00015437838001896372
AdaBoost,0.002034053287453694
Gradient Boosting,0.00033740263723288754
Decision Tree,6.142858672071919e-05
KNN,2.8535996131536937e-05
MLP,0.0005792427030273249
Random Forest,3.0019050258449717e-05
AdaBoost,0.0031150032073877986
Gradient Boosting,6.18209850497576e-05
Decision Tree,0.00011571177524228796
KNN,9.934029345558739e-05
MLP,0.005321243895583041
Random Forest,7.500616659469979e-05
AdaBoost,0.0021087391097784286
Gradient Boosting,0.00011576868219948137
Decision Tree,8.768464800797902e-05
KNN,7.406108227058598e-05
MLP,0.0008531676626265264
Random Forest,7.115812835442638e-05
AdaBoost,0.0024724054222691316
Gradient Boosting,8.772306977762194e-05
Decision Tree,8.029367395387104e-05
KNN,6.629913432540633e-05
MLP,0.001448316316052779
Random Forest,6.495676762634081e-05
AdaBoost,0.0025706715151896974
Gradient Boosting,8.397397494332472e-05
Decision Tree,0.00014553317974259032
KNN,7.991877367326326e-05
MLP,0.008547070807183619
Random Forest,0.00013599885123847461
AdaBoost,0.00156288627161395
Gradient Boosting,0.00014677189965657536
Decision Tree,3.935955325747049e-05
KNN,2.8783006960094995e-05
MLP,0.005636146703209963
Random Forest,3.067006272862261e-05
AdaBoost,0.0014810629964456198
Gradient Boosting,3.865904931909101e-05
Decision Tree,0.00042030851588208855
KNN,0.00024308097537552707
MLP,0.004323747199256868
Random Forest,0.00024023969908892876
AdaBoost,0.004523311119370779
Gradient Boosting,0.00042007852287449766
Decision Tree,8.672787660682136e-05
KNN,4.7368580802100944e-05
MLP,0.0012105402581155875
Random Forest,6.915178594017453e-05
AdaBoost,0.0014396552215672192
Gradient Boosting,8.682270646966063e-05
Decision Tree,5.797997398775395e-05
KNN,5.6844394377569305e-05
MLP,0.0016714314529055723
Random Forest,5.87054598748534e-05
AdaBoost,0.0023644895068650564
Gradient Boosting,5.916896865471182e-05
Decision Tree,4.872807721053266e-05
KNN,3.140724723290893e-05
MLP,0.0018282703238619352
Random Forest,3.294659807809949e-05
AdaBoost,0.0012548000923611811
Gradient Boosting,5.1397972981378615e-05
Decision Tree,0.0001256418646386875
KNN,0.00010652564100961037
MLP,0.005317090834889464
