"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"YDUQ3","YDUQS PART",10.01,14.06,0.9,0.544,0.0292,0.306,3.09,3.74,-0.73,9.32,4.49,0.1458,0.039,1.7,0.0923,0.064,51028800,3217700000,1.62,0.0899
"AURE3","AUREN",9.73,14.13,0.81,1.549,0.1859,0.325,2.2,12.21,-1.11,15.9,8.89,0.1268,0.1096,1.93,0.0329,0.0574,56487800,12587300000,0.67,0.1597
"TMGC11","TELEMIG CELULAR",900,14.26,1.83,1.309,0,1.26,7.62,20.08,13.46,18.75,18.75,0.0652,0.0918,1.69,0.0873,0.1283,0,1167010000,0.05,0.1049
"ENMT3","ENERGISA MT",82.98,14.39,4.58,2.281,0.0331,1.285,128.24,8.85,-2.74,11.3,9.81,0.2576,0.1585,1.04,0.1635,0.3181,2344.64,3968130000,1.49,0.112
"BLAU3","BLAU",15.02,14.41,1.28,1.598,0.0243,0.831,2.38,9.22,6.28,9.62,8.22,0.1733,0.1088,3.48,0.1128,0.0892,4670860,2097210000,0.26,0.0958
"TNCP4","AMAZÔNIA CELULAR",182.6,14.42,2.49,3.091,0,1.696,52.65,11.85,-22.3,11.88,8.72,0.2608,0.2144,1.15,0.1648,0.1729,0,13081500000,0.09,0.9779
"UNIP5","UNIPAR PARTICIPAÇÕES S.A.",54,14.43,2.21,1.376,0.0517,0.806,3.02,14.24,-5.24,15.36,9.13,0.0966,0.0958,2.26,0.0877,0.1533,37069,2762980000,1.01,0.0531
"TASA4","TAURUS ARMAS",9.01,14.51,0.95,0.697,0.0337,0.491,2.63,8.88,7.2,12.44,9.36,0.0785,0.048,1.51,0.0633,0.0656,3027430,1198000000,0.52,-0.0041
"PORT3","WILSON SONS",15.74,14.55,2.66,2.527,0.0677,1.115,371.24,8.9,-2.68,11.92,8.59,0.284,0.1749,1.02,0.1366,0.1827,38152300,2611850000,1.03,-0.0045
"TNCP3","AMAZÔNIA CELULAR",184.85,14.59,2.52,3.129,0,1.717,53.3,12,-22.58,12.03,8.83,0.2608,0.2144,1.15,0.1648,0.1729,0,13081500000,0.09,0.9779
