date,stock,Prediction,Model,Margin_prediction,Sharpe,Sortino
1,FIQE3,3.822117447853087,Decision Tree,0.08970486929194947,0.028522276190372235,0.042867356800746305
2,FIQE3,4.20626068115234,Decision Tree,0.08970486929194947,0.028522276190372235,0.042867356800746305
3,FIQE3,3.926003546941849,Decision Tree,0.08970486929194947,0.028522276190372235,0.042867356800746305
4,FIQE3,4.20626068115234,Decision Tree,0.08970486929194947,0.028522276190372235,0.042867356800746305
5,FIQE3,4.20626068115234,Decision Tree,0.08970486929194947,0.028522276190372235,0.042867356800746305
1,ABEV3,13.2950687408447,Decision Tree,0.08201892246236661,0.008455757400815195,0.012113352380044977
2,ABEV3,12.416639191763712,Decision Tree,0.08201892246236661,0.008455757400815195,0.012113352380044977
3,ABEV3,12.8191967010498,Decision Tree,0.08201892246236661,0.008455757400815195,0.012113352380044977
4,ABEV3,11.8712978363037,Decision Tree,0.08201892246236661,0.008455757400815195,0.012113352380044977
5,ABEV3,13.7200002670288,Decision Tree,0.08201892246236661,0.008455757400815195,0.012113352380044977
1,ROMI3,9.89122108567836,KNN,0.03572541204091384,-0.022789275732908572,-0.03617682037102285
2,ROMI3,9.74214168524507,KNN,0.03572541204091384,-0.022789275732908572,-0.03617682037102285
3,ROMI3,9.707460227743152,KNN,0.03572541204091384,-0.022789275732908572,-0.03617682037102285
4,ROMI3,9.633709515194711,KNN,0.03572541204091384,-0.022789275732908572,-0.03617682037102285
5,ROMI3,9.963678345304222,KNN,0.03572541204091384,-0.022789275732908572,-0.03617682037102285
1,ARML3,8.240935121242563,MLP,0.03131203280989249,-0.0409037273411705,-0.06968469841471836
2,ARML3,8.396748344479688,MLP,0.03131203280989249,-0.0409037273411705,-0.06968469841471836
3,ARML3,8.494032382557704,MLP,0.03131203280989249,-0.0409037273411705,-0.06968469841471836
4,ARML3,8.059764757329761,MLP,0.03131203280989249,-0.0409037273411705,-0.06968469841471836
5,ARML3,8.405192673986301,MLP,0.03131203280989249,-0.0409037273411705,-0.06968469841471836
1,SMFT3,20.374286191638365,Random Forest,0.030526448216724025,0.007160186097412708,0.012132178890063686
2,SMFT3,20.68329833125108,Random Forest,0.030526448216724025,0.007160186097412708,0.012132178890063686
3,SMFT3,20.497267407177645,Random Forest,0.030526448216724025,0.007160186097412708,0.012132178890063686
4,SMFT3,20.72318218080563,Random Forest,0.030526448216724025,0.007160186097412708,0.012132178890063686
5,SMFT3,20.559003428152977,Random Forest,0.030526448216724025,0.007160186097412708,0.012132178890063686
