"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"CFLU4","COCA COLA",1000,0,0,0,0,0,0,0,0,0,0,0.0888,0.1072,1.1,0.1768,0.3215,0,60351000,0.06,0.0814
"PORP4","POLIPROPILENO PARTICIPAÇÕES S.A.",2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208,0,22399000,0,0.1366
"CLAN3","CLARION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105,0,1012240000,0,-0.6396
"PMET3","PRO METALURG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,-290863000,0,0.3774
"MNSA3","MANASA",0.42,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266,3.63,-0.135,1.457,0,-9105000,-6.52,-0.4111
"MNSA4","MANASA",0.47,0,0,0,0,0,0,0,0,0,0,-2.0815,-3.6266,3.63,-0.135,1.457,0,-9105000,-6.52,-0.4111
"POPR4","POLIPROPILENO S.A.",10.17,0,0,0,0,0,0,0,0,0,0,0.0866,0.0565,1.08,0.1525,0.1993,0,545803000,0.82,0.3093
"CSTB4","COMPANHIA SIDERÚRGICA DE TUBARÃO",147.69,0,0,0,0,0,0,0,0,0,0,0.4085,0.2898,2.6,0.224,0.2011,0,8420670000,0.14,0.3191
"CSTB3","COMPANHIA SIDERÚRGICA DE TUBARÃO",150,0,0,0,0,0,0,0,0,0,0,0.4085,0.2898,2.6,0.224,0.2011,0,8420670000,0.14,0.3191
"IVTT3","BHG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,0,1083050000,0,0.2067
"GNDI3","INTERMEDICA",66.95,-3584.82,5.84,3.423,0.0239,2.378,79.65,87.05,-6.21,91.13,50.88,0.0393,-0.0009,1.17,0.0309,-0.0016,0,7116080000,0.53,0.2523
