"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"PNVL4","PANVEL FARMÁCIAS",18.62,27.04,2.34,0.581,0,0.866,3.9,17.8,-24.27,23.8,10.29,0.0326,0.0215,1.6,0.0654,0.0866,0,1195570000,0.96,0.1452
"ELCA4","REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.",20.2,27.3,10.38,2.456,0,1.429,62.05,10.38,-2.73,13.19,10.92,0.2366,0.1251,1.09,0.1614,0.3801,0,4108030000,3.51,0.1063
"RPSA4","RIPASA",4.9,27.33,1.55,5.697,0,0.805,5.09,107.53,-4.5,137.55,137.55,0.053,0.2085,2.09,0.0085,0.0569,0,1167980000,0.61,-0.1423
"TOTS3","TOTVS",29.82,27.5,3.72,3.53,0.0152,2.036,9.91,10.1,-29.12,9.8,8.31,0.3496,0.1327,2.44,0.2743,0.1354,123011000,4802610000,0.34,0.1921
"SEBB11","SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A",23.27,28.01,6.44,2.214,0,5.279,24.65,23.96,28.94,23.73,23.73,0.0924,0.074,2.44,0.2415,0.2301,0,145783000,0.01,0.5004
"RENT3","LOCALIZA RENT A CAR",44.2,28.46,1.87,1.355,0.0349,0.579,27.61,8.54,-1.28,14.18,6.91,0.1587,0.0476,1.1,0.0892,0.0656,357044000,25638700000,1.68,0.4021
"ENEV3","ENEVA",11.97,28.91,1.54,2.499,0,0.489,16.98,8.2,-0.97,13.63,8.92,0.3047,0.136,1.23,0.0643,0.0532,105903000,15047200000,1.16,0.3361
"ONCO3","ONCOCLINICAS",3.33,29.98,0.57,0.356,0,0.177,0.89,2.87,-0.69,7.67,5.62,0.1241,0.0213,1.96,0.0829,0.0191,17087500,3790620000,1.53,0.2941
"BSCT5","BESC S.A.",3.5,30.51,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0.0905,0,212960000,0,0.0192
"TEND3","Tenda",16.41,30.86,2.14,0.633,0,0.411,6.02,6.22,-1.2,7.77,6.42,0.1019,0.0183,1.17,0.0819,0.0692,49051800,946012000,1.31,0.0859
"GEPA4","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",30.33,31.65,0,8.018,0.199,0,0,32.65,0,32.65,21.51,0.2455,0.2533,0,0,0,15540.7,0,0,-0.2413
"MOSI3","MOSAICO SA",8.24,32.29,1.56,4.761,0,1.453,1.89,89.69,1.9,42.98,24.91,0.0531,0.1475,13.3,0.0812,0.0482,0,670337000,0,0
"BRGE6","CONSORCIO ALFA",12.92,32.46,0.72,267.653,0.0436,0.318,0.83,-1.36,1.62,0.92,0.94,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"ELMD3","ELETROMIDIA",27.75,32.63,4.21,3.429,0.0031,1.592,12.58,12.73,-6.47,14.16,10.03,0.2694,0.1318,1.75,0.1666,0.1292,9754640,921664000,0.95,0.4573
"CREM3","CREMER S.A.",14.5,32.69,2.45,0.685,0,0.67,4.89,8.52,-5.41,12.04,7.07,0.0805,0.021,1.29,0.1136,0.075,0,189701000,1.58,-0.0027
"BRGE7","CONSORCIO ALFA",13.07,32.83,0.73,270.76,0.0251,0.322,0.84,-1.38,1.63,0.9,0.92,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"TSEP3","TELE SUDESTE CELULAR PART SA",40,33.05,1.79,1.768,0,1.25,5.24,20.44,6.11,17.91,17.91,0.0865,0.0535,1.88,0.091,0.0543,0,2047020000,0,0.045
"BRGE8","CONSORCIO ALFA",13.17,33.08,0.73,272.832,0.0178,0.324,0.85,-1.39,1.65,0.89,0.91,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"BRGE5","CONSORCIO ALFA",13.18,33.11,0.73,273.039,0,0.325,0.85,-1.39,1.65,0.89,0.91,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"BRGE11","CONSORCIO ALFA",13.18,33.11,0.73,273.039,0.0214,0.325,0.85,-1.39,1.65,0.89,0.91,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"ELEK4","ELEKEIROZ S/A",26,33.27,3.62,0.842,0.0025,1.452,5.1,70.89,-150.12,84.56,33.61,0.0119,0.0253,1.94,0.0252,0.1087,0,226327000,0.99,0.0569
"ELCA3","REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.",24.7,33.38,12.69,3.003,0,1.747,75.88,12.69,-3.34,15.5,12.84,0.2366,0.1251,1.09,0.1614,0.3801,0,4108030000,3.51,0.1063
"BRGE12","CONSORCIO ALFA",13.47,33.84,0.75,279.047,0,0.332,0.87,-1.42,1.68,0.86,0.88,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"BRGE3","CONSORCIO ALFA",13.5,33.91,0.75,279.668,0,0.333,0.87,-1.42,1.69,0.86,0.87,-196.369,13.8129,3.06,-0.5003,0.0221,0,1324180000,0,-0.4561
"RAIZ4","RAIZEN",2.6,34.92,1.24,0.111,0.0597,0.189,3,4.43,-0.5,12.76,4.91,0.025,0.0034,1.16,0.0556,0.0355,42999500,21717600000,2.82,0.1337
"GEPA3","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",33.5,34.96,0,8.856,0.1802,0,0,36.07,0,36.07,23.76,0.2455,0.2533,0,0,0,3766.05,0,0,-0.2413
"CTIP3","CETIP",49.5,35.13,8.76,8.248,0,3.774,-71.28,21.15,-14.32,21.42,18.26,0.3899,0.2348,0.85,0.2463,0.2494,0,1486250000,0.67,0.1343
"TNLP3","TELEMAR",27.75,35.39,0.96,0.468,0,0.17,1.76,4.63,-0.45,10.31,10.31,0.1012,-0.0007,1.48,0.0458,0.0272,0,13736000000,2.02,0.1539
"VIGR3","VIGOR FOOD",25,36.57,2.55,0.763,0,0.899,11.45,12.39,-5.02,15.2,22.95,0.0616,0.0228,1.26,0.0906,0.0698,0,1593560000,0.84,0.5472
"PARD3","IHPARDINI",20.25,36.76,5.3,2.565,0.0522,2.095,-54.06,17.52,-8.62,18.12,11.99,0.1464,0.07,0.9,0.1526,0.1442,0,1019310000,0.53,0.1597
"WEGE3","WEG SA",54.01,37.2,11.49,6.345,0.0138,6.242,21.75,27.91,28.68,27.53,25.24,0.2274,0.1774,1.78,0.3,0.3089,329721000,19724500000,0.15,0.2139
"CRIV4","ALFA FINANCEIRA",6.74,37.77,0.66,0,0.036,0,0,0,0,0,0,0,0,0,0,0.0174,0,1058750000,0,-0.001
"ALSC3","ALIANSCE",27.75,38.57,2.2,10.717,0.0095,1.202,9.41,19.33,-4.22,17.49,14.08,0.5545,0.293,5.39,0.0703,0.0569,0,2593960000,0,0.0234
"PRGA4","BRF Foods",75,38.6,7.63,2.166,0,2.086,14.42,21.71,-8.7,23.21,14.58,0.0998,0.0614,1.45,0.1655,0.1977,0,16530000000,1.18,0.1107
